split,review,rating,sentiment
test,"Right up (or down) there with Toys and Jurassic Park 2 and The Phantom Menace.<br /><br />The premise sounded cool, some of the commercials looked semi-promising, but alas, the entire movie had about 30 seconds of neat shot-ness, and that was shown on the small screen's 30 second slot.<br /><br />If you want amateur writing, second-rate effects, ridiculous costumes, and an all-around snoozefest by all means watch it. The plot is recycled sci-fi fodder. Too bad too, because coming in I thought it would be bad but held out hope. It may be the worst movie I have ever seen, and I have seen a lot. <br /><br />Bottom line - Don't watch it.<br /><br />Unless of course you -liked- any of the above 3 movies.",1,neg
test,"Even after all these years, this remain ""a perfect movie"" for me. I still remember sitting for a long time in the theater after it was over, stunned by the experience, overcome by emotion. I own the DVD (of course!) is see at least once a year. It's incomparable and I cannot add much to has already been written about its excellence and beauty. So glad others love it as much as I do! A note: the author of the book on which it's based - Michael Ondatje - was enchanted with the film and is quoted as saying he wished he had thought of some of the lovely scenes written purely for the movie...the way Kip ""invites"" Hana to his side with a trail of small candles, and the way he arranges for Hana to view the frescoes in the ruined medieval church.",10,pos
train,"I own this movie and have watched it several times throughout the years since it was released. Prince doesn't stun us with his phenomenal acting style or anything, he's a musician and I feel like that is what he displayed here, he's just the best one to tell this story through influence. Most of this movie is straightforward and teenish but that is the directors/writers fault, still it is a great movie with even better music. The principals and moral convictions in Purple Rain are quite strong and if more movies would rely on the basics we are taught as young children we would have a better all around environment seeing that art reflects life which reflects art.",10,pos
train,"This was surprisingly intelligent for a TV movie, and quite true to my own experience of bulimia. It was actually well-researched, and I can only assume it was written by someone who's gone through a similar experience, because it had all the little details. The characters were quite well-drawn, and the performances by Mare Winningham and Alison Lohman were great. I think what I like most was that they made them specific and smart, and there was no dumbing down of the reasons for Beth's bulimia (it wasn't some ""diet gone out of control, caused by the pressures placed on girls by the media, pressures we're not actually going to address...""). Her mother wasn't completely clueless - too often on television they'll take an issue that EVERYONE has some awareness of and try to tell us that their protagonists are the last remaining people on earth who don't (""Diabetes? What's that? Oh, my world is all askew, doctor, please explain it all to me as if I'm a small child"", etc). It was brilliant that her mother was a psychologist and even she didn't see the signs. And the scenes where Beth was throwing up weren't OVERLY melodramatic and sensationalist, and concentrated more on bulimics' need for secrecy, and their out-of-controlness. The scene where Beth tells her mother she's bulimic would've made me cry if there hadn't been other people in the room.<br /><br />Okay, so I liked those bits. What didn't work for me so well was the ending, which headed back to the TV movie territory we know and don't particularly love, but I guess they had to wrap it up. ""You, too, can cure your child's eating disorder, if you have lots and lots of money and live in America...""<br /><br />And can I just say again that I really like Mare Winningham. She's great.",8,pos
test,"Mark Blankfield played Jekyll and Hyde.<br /><br />Michael McGuire was the dad.<br /><br />Tim Thomerson was the plastic surgeon.<br /><br />Did you even see this movie? I doubt it!<br /><br />Blankfield was fairly popular at this time for playing the pill-popping doctor on Fridays. Thomerson has been funny in anything he does, from movies to series to stand-up comedy. If I ever find this movie on DVD I will definitely buy it. I recorded this movie off of HBO back in '82 and have pretty much worn out the tape. One of the funniest takes on the Jekyll & Hyde theme ever.<br /><br />Of course. with all the cocaine references in this movie, it'd be panned as being way too politically incorrect today, as would Cheech and Chong. Too bad, because it is FUNNY, FUNNY, FUNNY!",10,pos
test,"It is quite rare that a movie comes along that is so useless, that I with IMDb allowed the use of negative scores. In fact, I reflect back upon this movie and I truly cannot think of a movie that had so little going for it. Acting: Your Kidding right. Direction: No. A plot: No. This movie has nothing going for it if you take it as a serious movie, this is often the case with movies of this genre, but most movies of this nature can be watch as if they are a comedy and you can laugh at how pathetic the characters and situations are and almost get your times worth. This movie is so empty, that it cannot even suit that purpose. I have to give this a -1/10, three points lower then any other movie I have ever rated. I truly feel that the staff involved in this movie should pay me for the 83 minutes I spent watching it. I do not really have the words to describe how bad this is. No one should ever watch this for any reason again.",1,neg
test,"Every review I have read so far seems to have missed a crucial point. Shakespeare wrote for the accent and the pronunciation just as he did for northerners in other plays. The Scottish accent changes the emphasis and rhythm of the language and affects profoundly what is said and the way it is taken. So, listen again and note the difference. The play is well done and the rhythm of the words are so much better than that provided by people using received, polite, well- enunciated English. I am reminded of the time a teacher in a school in Leicester, unknowingly, asked me, age 14, to read a piece of Walter Scott which was written in the tone of the Border. I come from the Border and when I read it as it should be read it made all the difference.",8,pos
train,"Well, i could nt get into the plot, but thats just me maybe. Listless camera-movements at times, nevertheless this movie has got a charming vintage quality.The acting is genuine at times and entertaining with the occasional chase sequence involving scantily clad ladies, which was nice. The climax is confused and disjointed, but still ...err riveting, thanx to Stella Stevens.<br /><br />The stunts are interesting, specially because of the 70's las vegas backdrop. There are a few jerky hand-held camera-movements at the end, which keep me guessing, for a while. But i don't think I ll b chasing the DVD, just yet.",3,neg
test,"No,no,no. That is my advice to you if you are wanting to see this film. Anthony Perkins is the one and ONLY Norman Bates,as is Janet Leigh in her role as Marion Crane. This just seems like a colorized version of Psycho,with a few mildly different touches thrown in for a more modern appeal. Vaughn is dull as ill Norman,and Viggo Mortenson's Sam Loomis seems too much the cowboy compared to the original. Please folks,do yourself some justice. Don't bother with this. One can only wonder what Mr. Alfred Hitchcock and Mr. Anthony Perkins would be thinking right now.......<br /><br /> * out of ****",2,neg
test,"I was hooked in by the premise that the show was about demons. From hell. And a doorway to hell. What I didn't realize was that I would be watching some guys run around tunnels chased by small children who may / may not have been demons for the entire movie. Sure there was some dialogue in between, and great underground scenery but the lack of a plot, developed characters, any twists or development in the story at all was sorely lacking. Oh, and out of interest, there were no special effects. The entire budget was spent on actors salaries, sets and lots of time running around with a camera underground.<br /><br />The ending was one of the typical lackluster boring endings that makes you say ""I endured this film of boredom for that!?"" If you want to see demons and a doorway to hell, I promise you that you would be better off served watching the trailers to the game Hellgate : London which while shorter than this movie at 5 minutes, pack more dialogue, character development, action, plot and satisfying conclusions than this.<br /><br />The second star is for effort, but overall a low score for failing to make a movie that stands out, and for promising in the tagline much more than what was delivered.",2,neg
